fips,apn,street_number,street_pre_direction,street_name,street_suffix,street_post_direction,unit_type,unit_number,formatted_street_address,city,state,zip_code,zip_plus_four_code,latitude,longitude,geocoding_accuracy,census_tract,carrier_code
06001,1-111-1,229,,BRUSH,ST,,,,229 BRUSH ST,OAKLAND,CA,94607,3009,37.799219,-122.28351,,9820001022,C026
06001,1-111-2,,,BRUSH,ST,,,,BRUSH ST,OAKLAND,CA,94607,,37.805,-122.2812,,0000410500,
06001,1-111-5-2,205,,BRUSH,ST,,,,205 BRUSH ST,OAKLAND,CA,94607,3009,37.799219,-122.28351,,9820001029,C026
06001,1-111-5-3,205,,BRUSH,ST,,,,205 BRUSH ST,OAKLAND,CA,94607,3009,37.799219,-122.28351,,9820001029,C026
06001,1-1111-1,311,,OAK,ST,,STE,C1,311 OAK ST STE C1,OAKLAND,CA,94607,4635,37.793945,-122.26783,,4033001030,C010
06001,1-1111-10,311,,OAK,ST,,APT,105,311 OAK ST APT 105,OAKLAND,CA,94607,4602,37.794074,-122.267998,PARCEL CENTROID,060014033.001030,C010
06001,1-1111-11,311,,OAK,ST,,APT,106,311 OAK ST APT 106,OAKLAND,CA,94607,4602,37.794074,-122.267998,PARCEL CENTROID,060014033.001030,C010
06001,1-1111-12,311,,OAK,ST,,APT,107,311 OAK ST APT 107,OAKLAND,CA,94607,4602,37.794074,-122.267998,PARCEL CENTROID,060014033.001030,C010
06001,1-1111-13,311,,OAK,ST,,APT,108,311 OAK ST APT 108,OAKLAND,CA,94607,4602,37.794074,-122.267998,PARCEL CENTROID,060014033.001030,C010
06001,1-1111-14,300,,OAK,ST,,#,109,300 OAK ST # 109,OAKLAND,CA,94607,,37.794074,-122.267998,PARCEL CENTROID,060014033.001030,
06001,1-1111-15,311,,OAK,ST,,APT,110,311 OAK ST APT 110,OAKLAND,CA,94607,4602,37.794074,-122.267998,PARCEL CENTROID,060014033.001030,C010
06001,1-1111-16,311,,OAK,ST,,APT,111,311 OAK ST APT 111,OAKLAND,CA,94607,4602,37.794074,-122.267998,PARCEL CENTROID,060014033.001030,C010
06001,1-1111-17,311,,OAK,ST,,APT,112,311 OAK ST APT 112,OAKLAND,CA,94607,4602,37.794074,-122.267998,PARCEL CENTROID,060014033.001030,C010
06001,1-1111-18,311,,OAK,ST,,APT,113,311 OAK ST APT 113,OAKLAND,CA,94607,4602,37.794065,-122.26797,,4033001030,C010
06001,1-1111-19,311,,OAK,ST,,APT,114,311 OAK ST APT 114,OAKLAND,CA,94607,4602,37.794065,-122.26797,,4033001030,C010
06001,1-1111-2,311,,OAK,ST,,STE,C2,311 OAK ST STE C2,OAKLAND,CA,94607,4635,37.793945,-122.26783,,4033001030,C010
06001,1-1111-20,311,,OAK,ST,,APT,115,311 OAK ST APT 115,OAKLAND,CA,94607,4602,37.794074,-122.267998,PARCEL CENTROID,060014033.001030,C010
06001,1-1111-21,311,,OAK,ST,,APT,116,311 OAK ST APT 116,OAKLAND,CA,94607,4602,37.794074,-122.267998,PARCEL CENTROID,060014033.001030,C010
